name,province
Apenhuizen,Overijssel
Aperloo,Gelderland
Appel,Gelderland
Appelscha,Friesland
Appeltern,Gelderland
Appen,Gelderland
Appingedam,Groningen
Arcen,Limburg
Archem,Overijssel
Arendnest,Noord-Brabant
Arensgenhout,Limburg
Arkel,Zuid-Holland
Arkens,Friesland
Arkum,Friesland
Armhoede,Gelderland
Armweide,Drenthe
Arnemuiden,Zeeland
Arnhem,Gelderland
Arnoud,Zuid-Holland
Arriën,Overijssel
Arriërveld,Overijssel
Arum,Friesland
Arwerd (Delfzijl),Groningen
Arwerd (Het Hogeland),Groningen
Asbroek,Limburg
Asch,Gelderland
Asdonk,Noord-Brabant
Asenray,Limburg
Asperen,Gelderland
Asschat,Utrecht
Assel,Gelderland
Asselt,Limburg
Assen,Drenthe
Assendelft,Noord-Holland
Assum,Noord-Holland
Asten,Noord-Brabant
Atzeburen,Friesland
Augsbuurt,Friesland
Augustinusga,Friesland
Austerlitz,Utrecht
Avendorp,Noord-Holland
Avenhorn,Noord-Holland
Averlo en Frieswijk,Overijssel
Avest,Gelderland
Axel,Zeeland
Axwijk,Noord-Holland
Azelo,Overijssel
Azewijn,Gelderland
Baaiduinen,Friesland
Baak,Gelderland
Baakhoven,Limburg
Baaks-Sweijer,Limburg
Baakwoning,Zuid-Holland
Baal,Gelderland
Baalhoek,Zeeland
Baambrugge,Utrecht
Baambrugse Zuwe,Utrecht
Baamsum,Groningen
Baanhoek,Zuid-Holland
Baard,Friesland
Baarderburen,Friesland
Baarland,Zeeland
Baarle-Nassau,Noord-Brabant
Baarle-Nassau Grens,Noord-Brabant
Baarlo (Limburg),Limburg
Baarlo (Steenwijkerland),Overijssel
Baarlo (Zwartewaterland),Overijssel
Baarn,Utrecht
Baars,Overijssel
Baarschot (Deurne),Noord-Brabant
Baarschot (Hilvarenbeek),Noord-Brabant
Baarschot (Oosterhout),Noord-Brabant
Baarsdorp,Zeeland
Baarsdorpermeer,Noord-Holland
Babberich,Gelderland
Baburen,Friesland
Babyloniënbroek,Noord-Brabant
Bad Nieuweschans,Groningen
Badhoevedorp,Noord-Holland
Baexem,Limburg
Baflo,Groningen
Bahr,Gelderland
Baijum,Friesland
Bakel,Noord-Brabant
Bakelsebrug,Noord-Brabant
Bakertand,Noord-Brabant
Bakhuisbos,Gelderland
Bakhuizen,Friesland
Bakkersdam,Zeeland
Bakkeveen,Friesland
Bakkum,Noord-Holland
Bakkum-Noord,Noord-Holland
Bakovensmee,Groningen
Balgoij,Gelderland
Balinge,Drenthe
Balk,Friesland
Balkbrug,Overijssel
Ballingbuur,Friesland
Balloërveld,Drenthe
Balloo,Drenthe
Ballum,Friesland
Balmahuizen,Groningen
Baneheide,Limburg
Bangeweer,Groningen
Banholt,Limburg
Bankert,Noord-Brabant
Bant,Flevoland
Bantega,Friesland
Barchem,Gelderland
Barendrecht,Zuid-Holland
Barendrechtse Veer,Zuid-Holland
Bareveld,Drenthe (border)
Bargebek,Friesland
Bargen,Noord-Holland
Barger-Compascuum,Drenthe
Barger-Erfscheidenveen,Drenthe
Barger-Oosterveen,Drenthe
Barger-Oosterveld,Drenthe
Barlage,Groningen
Barlaque,Noord-Brabant
Barlo,Gelderland
Barnegaten,Groningen
Barneveld,Gelderland
Barnflair,Groningen
Barnheem,Groningen
Barnwerd,Groningen
Barrier,Limburg
Barrum,Friesland
Barsbeek,Overijssel
Barsingerhorn,Noord-Holland
Bartlehiem,Friesland
Barwoutswaarder,Utrecht
Basse,Overijssel
Basserveld,Overijssel
Batadorp,Noord-Brabant
Batenburg,Gelderland
Bath,Zeeland
Bathmen,Overijssel
Battenoord,Zuid-Holland
Bavel,Noord-Brabant
Bavinkel,Overijssel
Bazuin,Drenthe
Beckum,Overijssel
Bedaf,Noord-Brabant
Bedum,Groningen
Beegden,Limburg
Beek en Donk,Noord-Brabant
Beek (Berg en Dal),Gelderland
Beek (Laarbeek),Noord-Brabant
Beek (Limburg),Limburg
Beek (Montferland),Gelderland
Beekbergen,Gelderland
Beekdorp,Overijssel
Beekheuvel,Limburg
Beekkant,Limburg
Beekveld,Noord-Brabant
Beemdkant,Noord-Brabant
Beemte,Gelderland
Beemte Broekland,Gelderland
Beerenplaat,Zuid-Holland
Beers (Friesland),Friesland
Beers (Noord-Brabant),Noord-Brabant
Beerschoten,Utrecht
Beersterhoogen,Groningen
Beerta,Groningen
Beertsenhoven,Limburg
Beerze,Overijssel
Beerzerveld,Overijssel
Beesd,Gelderland
Beesel,Limburg
Beetgum,Friesland
Beetgumermolen,Friesland
Beets,Noord-Holland
Beetsterzwaag,Friesland
Behelp,Noord-Brabant
Beilen,Drenthe
Beilervaart,Drenthe
Beinsdorp,Noord-Holland
Bekelaar,Noord-Brabant
Bekenes,Utrecht
Bekveld,Gelderland
Beldert,Zeeland
Belfeld,Limburg
Belgenhoek,Limburg
Belgeren,Noord-Brabant
Bellingeweer,Groningen
Bellingwolde,Groningen
Beltrum,Gelderland
Belt-Schutsloot,Overijssel
Belvert,Noord-Brabant
Bemelen,Limburg
Bemmel,Gelderland
Bemmer,Noord-Brabant
Benderse,Drenthe
Beneden Veensloot,Groningen
Benedenberg,Zuid-Holland
Benedeneind,Noord-Brabant
Beneden-Haastrecht,Zuid-Holland
Benedenheul,Zuid-Holland
Benedenkerk,Zuid-Holland
Beneden-Leeuwen,Gelderland
Benedenvaart,Overijssel
Bennebroek,Noord-Holland
Bennekom,Gelderland
Benneveld,Drenthe
Benningbroek,Noord-Holland
Benschop,Utrecht
Bent,Zuid-Holland
Bentelo,Overijssel
Benthem,Noord-Brabant
Benthuizen,Zuid-Holland
Bentveld,Noord-Holland
Benzenrade,Limburg
Berdelingebuurte,Zeeland
Berenbroek,Noord-Brabant
Berg aan de Maas,Limburg
Berg en Dal,Gelderland
Berg (Cranendonck),Noord-Brabant
Berg (Eijsden-Margraten),Limburg
Berg (Valkenburg aan de Geul),Limburg
Bergakker,Gelderland
Bergambacht,Zuid-Holland
Bergeijk,Noord-Brabant
Bergen (Limburg),Limburg
Bergen (Noord-Holland),Noord-Holland
Bergen aan Zee,Noord-Holland
Bergen op Zoom,Noord-Brabant
Bergenhuizen,Limburg
Bergenshuizen,Noord-Brabant
Bergentheim,Overijssel
Bergerden,Gelderland
Bergermeer,Noord-Holland
Bergharen,Gelderland
Berghem (Limburg),Limburg
Berghem (Noord-Brabant),Noord-Brabant
Berghoek,Noord-Brabant
Berghof,Limburg
Berghuizen (De Wolden),Drenthe
Berghuizen (Heerde),Gelderland
Berghum,Overijssel
Bergsche Heide,Limburg
Bergschenhoek,Zuid-Holland
Bergstoep,Zuid-Holland
Bergum,Friesland
Berik,Limburg
Beringe,Limburg
Berkeind,Noord-Brabant
Berkeindje,Noord-Brabant
Berkel en Rodenrijs,Zuid-Holland
Berkelaar,Limburg
Berkel-Enschot,Noord-Brabant
Berkenwoude,Zuid-Holland
Berkhout,Noord-Holland
Berkmeer,Noord-Holland
Berkt (Bernheze),Noord-Brabant
Berkt (Veldhoven),Noord-Brabant
Berlicum,Noord-Brabant
Berlikum,Friesland
Bern,Gelderland
Besselaar,Noord-Brabant
Best,Noord-Brabant
Besthmen,Overijssel
Beswerd,Groningen
Bethlehem,Groningen
Beugen,Noord-Brabant
Beugt,Noord-Brabant
Beukelaar,Noord-Brabant
Beuningen (Gelderland),Gelderland
Beuningen (Overijssel),Overijssel
Beusbergen,Overijssel
Beuseberg,Overijssel
Beusichem,Gelderland
Beusum,Groningen
Beutenaken,Limburg
Bevermeer,Gelderland
Beverwijk,Noord-Holland
